"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\bookmarks.dart", "Dart", 97, 0, 8, 105
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\comentscreen.dart", "Dart", 141, 12, 12, 165
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\edit_page.dart", "Dart", 342, 4, 20, 366
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\firebase_options.dart", "Dart", 72, 12, 6, 90
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\forgotPass.dart", "Dart", 161, 2, 7, 170
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\homepage.dart", "Dart", 101, 44, 11, 156
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\intial_auth.dart", "Dart", 23, 5, 4, 32
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\login.dart", "Dart", 207, 3, 9, 219
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\main.dart", "Dart", 29, 1, 5, 35
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\mainpage.dart", "Dart", 66, 5, 8, 79
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\map_screen.dart", "Dart", 256, 8, 25, 289
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\menuscreen.dart", "Dart", 140, 221, 5, 366
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\new_scrapbook.dart", "Dart", 484, 67, 33, 584
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\onboarding.dart", "Dart", 282, 14, 19, 315
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\profile.dart", "Dart", 232, 43, 12, 287
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\profile_general.dart", "Dart", 214, 13, 9, 236
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\register.dart", "Dart", 290, 5, 13, 308
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\resetPass.dart", "Dart", 87, 1, 5, 93
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\scrapbook_page.dart", "Dart", 62, 0, 5, 67
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\search_screen.dart", "Dart", 74, 5, 6, 85
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\storage_methods.dart", "Dart", 26, 0, 5, 31
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\choose_image.dart", "Dart", 17, 0, 5, 22
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\colors.dart", "Dart", 9, 1, 3, 13
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\comment_card.dart", "Dart", 102, 27, 9, 138
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\like_animation.dart", "Dart", 71, 0, 12, 83
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\menu_button.dart", "Dart", 69, 1, 3, 73
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\pic.dart", "Dart", 92, 130, 9, 231
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\post.dart", "Dart", 263, 11, 11, 285
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\post_image.dart", "Dart", 43, 0, 6, 49
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\scrapbook_painter.dart", "Dart", 28, 1, 7, 36
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\template.dart", "Dart", 59, 1, 4, 64
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\utils\user_model.dart", "Dart", 43, 0, 6, 49
"c:\Users\victo\Desktop\secondHalf\scrapify\lib\view_page.dart", "Dart", 224, 1, 12, 237
"Total", "-", 4406, 638, 314, 5358